department,max_co_classification,closest_partner
건축학과,0.143,화학과
디자인학과,0.143,건축학과
산업공학과,0.429,컴퓨터공학과
간호학과,0.571,의예과
미디어커뮤니케이션학과,0.571,사회학과
컴퓨터공학과,0.571,전기전자공학과
사회학과,0.571,심리학과
화학과,0.571,생명과학과
심리학과,0.571,사회학과
생명과학과,0.643,식품영양학과
식품영양학과,0.643,생명과학과
전기전자공학과,0.714,기계공학과
응용통계학과,0.786,수학과
수학과,0.786,응용통계학과
사학과,0.786,국어국문학과
국어국문학과,0.786,사학과
조선해양공학과,0.857,자동차공학과
기계공학과,0.857,조선해양공학과
자동차공학과,0.857,조선해양공학과
신소재공학과,0.929,화학공학과
화학공학과,0.929,신소재공학과
경제학과,1.0,경영학과
약학과,1.0,의예과
경영학과,1.0,경제학과
의예과,1.0,약학과
