subcluster_id,n,departments,distinctive_courses
1,4,건축학과; 산업공학과; 수학과; 응용통계학과,"세계시민과 지리, 도시의 미래 탐구, 수학과 문화, 사회와 문화, 인공지능 수학"
2,4,기계공학과; 전기전자공학과; 컴퓨터공학과; 자동차공학과,"소프트웨어와 생활, 인공지능 기초, 기술·가정, 창의공학 설계, 데이터 과학"
3,6,화학과; 신소재공학과; 조선해양공학과; 생명과학과; 화학공학과; 식품영양학과,"세포와 물질대사, 생물의 유전, 융합과학 탐구, 생명과학, 생활과학 탐구"
