vector_type,k,silhouette_cosine,davies_bouldin_euclidean,inertia
weighted,2,0.47629926236065695,1.2446851599082018,4.830256628870967
weighted,3,0.33197489819410025,1.6384438607196268,4.050814513110742
weighted,4,0.3590028235902434,1.2903043045634301,3.3510627041086853
weighted,5,0.3378451327148652,1.2983162328032456,2.896483592185762
weighted,6,0.3271796404606829,1.1327212928600892,2.579293726355568
weighted,7,0.28703698464827004,1.0766737457520723,2.274061066347084
weighted,8,0.3092626434895683,1.0114420482493462,1.9634635176838213
binary,2,0.4953265176423059,1.216689184562342,4.823115178216568
binary,3,0.35955866530249975,1.5388498796868884,4.023091219438581
binary,4,0.3562702855963842,1.2760914299437833,3.3217799505986734
binary,5,0.33246793835421234,1.113610976289262,2.8852399014641463
binary,6,0.31222905415681496,1.1833150772941434,2.541653165002294
binary,7,0.3439205643276084,1.0827762525076527,2.2004981040361873
binary,8,0.33937644553533425,0.9172361032025889,1.8671647707028542
