department_id_1,department_name_1,department_id_2,department_name_2,course_similarity_weighted,course_similarity_binary,score_median_1,score_median_2,score_difference_median
D15,생명과학과,D22,사학과,0.46470815663035453,0.4717281765248635,3.395,3.5,0.10499999999999998
D14,경제학과,D18,디자인학과,0.4588314677411236,0.4472135954999581,2.93,3.705,0.7749999999999999
D03,심리학과,D07,신소재공학과,0.44339445131370575,0.450563556889583,3.25,2.84,0.41000000000000014
D09,의예과,D22,사학과,0.4300065817837659,0.41833001326703795,1.28,3.5,2.2199999999999998
D12,약학과,D22,사학과,0.4300065817837659,0.41833001326703795,1.32,3.5,2.1799999999999997
D18,디자인학과,D24,컴퓨터공학과,0.4271488503447916,0.40414518843273806,3.705,3.145,0.56
D04,기계공학과,D22,사학과,0.41964345453112645,0.408248290463863,3.2,3.5,0.2999999999999998
D10,수학과,D22,사학과,0.4147351751025109,0.3900947488027471,2.665,3.5,0.835
D12,약학과,D18,디자인학과,0.4146442144313647,0.40414518843273806,1.32,3.705,2.385
D09,의예과,D18,디자인학과,0.4146442144313647,0.40414518843273806,1.28,3.705,2.425
D18,디자인학과,D21,전기전자공학과,0.4095563626733777,0.38533731779422625,3.705,3.335,0.3700000000000001
D04,기계공학과,D18,디자인학과,0.4046513191112559,0.3944053188733077,3.2,3.705,0.5049999999999999
D02,국어국문학과,D07,신소재공학과,0.37893237337253666,0.37047928681747416,2.96,2.84,0.1200000000000001
D03,심리학과,D08,조선해양공학과,0.3745126703594156,0.38235955645093633,3.25,4.25,1.0
D08,조선해양공학과,D16,미디어커뮤니케이션학과,0.3553345272593509,0.34020690871988596,4.25,2.77,1.48
D02,국어국문학과,D08,조선해양공학과,0.34546681367002446,0.32338083338177726,2.96,4.25,1.29
D10,수학과,D18,디자인학과,0.34278719342402547,0.32302914123489934,2.665,3.705,1.04
D18,디자인학과,D20,간호학과,0.3391779807375455,0.32274861218395146,3.705,2.56155,1.14345
D22,사학과,D23,응용통계학과,0.32376195411908815,0.3149703941743561,3.5,2.73,0.77
D08,조선해양공학과,D18,디자인학과,0.3228000831375016,0.3442651863295482,4.25,3.705,0.5449999999999999
D17,화학공학과,D22,사학과,0.29974532466509035,0.2916059217599022,2.54,3.5,0.96
D08,조선해양공학과,D13,사회학과,0.29690784761008226,0.2842676218074806,4.25,2.7649999999999997,1.4850000000000003
D17,화학공학과,D18,디자인학과,0.28903665650803995,0.2817180849095055,2.54,3.705,1.165
D08,조선해양공학과,D22,사학과,0.28693685991528634,0.26726124191242445,4.25,3.5,0.75
D20,간호학과,D22,사학과,0.28139548854101093,0.26726124191242445,2.56155,3.5,0.93845
D06,산업공학과,D22,사학과,0.2747211278973781,0.26726124191242445,3.05,3.5,0.4500000000000002
D06,산업공학과,D18,디자인학과,0.26490647141300877,0.25819888974716115,3.05,3.705,0.6550000000000002
D07,신소재공학과,D22,사학과,0.23979625973207228,0.23328473740792174,2.84,3.5,0.6600000000000001
D07,신소재공학과,D18,디자인학과,0.23122932520643194,0.2253744679276044,2.84,3.705,0.8650000000000002
D18,디자인학과,D23,응용통계학과,0.18731716231633883,0.1825741858350554,3.705,2.73,0.9750000000000001
