cluster_id,departments,top_distinctive_courses
1,건축학과; 기계공학과; 화학과; 산업공학과; 신소재공학과; 조선해양공학과; 의예과; 수학과; 약학과; 생명과학과; 화학공학과; 식품영양학과; 간호학과; 전기전자공학과; 응용통계학과; 컴퓨터공학과; 자동차공학과,"세포와 물질대사, 전자기와 양자, 역학과 에너지, 융합과학 탐구, 로봇과 공학세계"
2,국어국문학과; 디자인학과,"매체 의사소통, 문학과 영상, 주제 탐구 독서, 여행지리, 독서 토론과 글쓰기"
3,경영학과; 경제학과,"영어 발표와 토론, 제2외국어 과목, 실생활 영어 회화, 미적분II, 영어I"
4,심리학과; 사회학과; 미디어커뮤니케이션학과; 사학과,"정치, 윤리문제 탐구, 역사로 탐구하는 현대 세계, 동아시아 역사 기행, 사회문제 탐구"
