department_id,department_name,cluster_id
D09,의예과,1
D12,약학과,1
D20,간호학과,1
D01,건축학과,2
D04,기계공학과,2
D05,화학과,2
D06,산업공학과,2
D07,신소재공학과,2
D08,조선해양공학과,2
D10,수학과,2
D15,생명과학과,2
D17,화학공학과,2
D19,식품영양학과,2
D21,전기전자공학과,2
D23,응용통계학과,2
D24,컴퓨터공학과,2
D25,자동차공학과,2
D02,국어국문학과,3
D18,디자인학과,3
D03,심리학과,4
D11,경영학과,4
D13,사회학과,4
D14,경제학과,4
D16,미디어커뮤니케이션학과,4
D22,사학과,4
