cluster_id,n,mean_co_assignment_over_alpha,departments
1,17,0.847,건축학과; 기계공학과; 화학과; 산업공학과; 신소재공학과; 조선해양공학과; 의예과; 수학과; 약학과; 생명과학과; 화학공학과; 식품영양학과; 간호학과; 전기전자공학과; 응용통계학과; 컴퓨터공학과; 자동차공학과
2,2,0.889,국어국문학과; 디자인학과
3,2,1.0,경영학과; 경제학과
4,4,1.0,심리학과; 사회학과; 미디어커뮤니케이션학과; 사학과
